ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787150600	0	DirectPlay	605	false					none						
1787150603	3	DirectPlay	607	false					none	7.08	434.5MiB	3719342	2104389785		
1787150605	5	DirectPlay	609	false					none	10.31	434.6MiB	3723076	2107139220		
1787150607	7	DirectPlay	611	false					none	12.73	434.6MiB	3728169	2109989777		
1787150609	9	DirectPlay	613	false					none	13.79	434.4MiB	3732893	2114446814		
1787150611	11	DirectPlay	615	false					none	14.98	435MiB	3738211	2119415324		
1787150613	13	DirectPlay	617	false					none	5.08	434.4MiB	3743265	2123914777		
1787150615	15	DirectPlay	619	false					none	12.71	434.1MiB	3747207	2126673293		
1787150617	17	DirectPlay	622	false					none	13.69	434.1MiB	3751385	2128222375		
1787150620	20	DirectPlay	624	false					none	21.62	434.4MiB	3755929	2131603728		
1787150622	22	DirectPlay	626	false					none	7.07	434.1MiB	3760605	2134365083		
1787150624	24	DirectPlay	628	false					none	9.99	434.6MiB	3763646	2136414868		
1787150626	26	DirectPlay	631	false					none	12.25	434.5MiB	3768184	2138583341		
1787150628	28	DirectPlay	633	false					none	40.12	434.6MiB	3773844	2141732734		
1787150630	30	DirectPlay	635	false					none	12.39	434.3MiB	3778301	2144812623		
1787150632	32	DirectPlay	637	false					none	6.32	434.6MiB	3781369	2146124872		
1787150635	35	DirectPlay	639	false					none	6.31	423.7MiB	3784563	2149247458		
1787150637	37	DirectPlay	641	false					none	5.95	432.1MiB	3792326	2155741244		
1787150639	39	DirectPlay	643	false					none	6.62	431.8MiB	3796522	2157283651		
1787150641	41	DirectPlay	645	false					none	5.52	431.4MiB	3800442	2159797988		
1787150643	43	DirectPlay	648	false					none	2.74	431.5MiB	3804296	2162685178		
1787150645	45	DirectPlay	650	false					none	6.24	432.1MiB	3807368	2165718521		
1787150647	47	DirectPlay	652	false					none	5.11	431.5MiB	3812296	2168633414		
1787150650	50	DirectPlay	654	false					none	7.38	432.1MiB	3816348	2170447945		
1787150652	52	DirectPlay	656	false					none	8.48	432.1MiB	3821534	2174865467		
1787150654	54	DirectPlay	658	false					none	6.81	431.8MiB	3825289	2177923067		
1787150656	56	DirectPlay	660	false					none	13.50	432.4MiB	3829365	2179197903		
1787150658	58	DirectPlay	662	false					none	32.70	432MiB	3834413	2181965171		
1787150660	60	DirectPlay	664	false					none	11.57	432.3MiB	3836980	2184810540		
1787150662	62	DirectPlay	666	false					none	14.73	432.5MiB	3841836	2187807491		
1787150664	64	DirectPlay	668	false					none	11.27	432MiB	3844280	2191057394		
1787150667	67	DirectPlay	671	false					none	15.01	432.1MiB	3848653	2192529960		
1787150669	69	DirectPlay	673	false					none	25.17	432MiB	3853725	2195684921		
1787150671	71	DirectPlay	675	false					none	13.17	432.3MiB	3856127	2196926648		
1787150673	73	DirectPlay	678	false					none	17.81	432.2MiB	3860101	2199950108		
1787150675	75	DirectPlay	680	false					none	5.70	432.1MiB	3865159	2204245910		
1787150677	77	DirectPlay	682	false					none	13.14	432MiB	3869331	2207418809		
1787150679	79	DirectPlay	684	false					none	14.48	431.7MiB	3873311	2208624607		
1787150682	82	DirectPlay	686	false					none	13.41	431.7MiB	3877495	2212145729		
1787150684	84	DirectPlay	688	false					none	6.85	432.4MiB	3880404	2213672509		
1787150686	86	DirectPlay	690	false					none	8.02	432.3MiB	3884192	2216880615		
1787150688	88	DirectPlay	692	false					none	7.02	431.7MiB	3887902	2219936163		
1787150690	90	DirectPlay	694	false					none	5.33	431.9MiB	3895677	2224659343		
1787150692	92	DirectPlay	696	false					none	6.17	432.7MiB	3899411	2227715627		
1787150695	95	DirectPlay	699	false					none	5.12	432.4MiB	3903277	2230971594		
1787150697	97	DirectPlay	702	false					none	7.28	432.2MiB	3906252	2232501145		
1787150699	99	DirectPlay	704	false					none	11.87	432MiB	3911918	2236665711		
1787150701	101	DirectPlay	706	false					none	20.46	432.2MiB	3916726	2238404879		
1787150703	103	DirectPlay	708	false					none	12.97	431.9MiB	3920430	2241366677		
1787150705	105	DirectPlay	710	false					none	35.54	432.1MiB	3932782	2245927169		
1787150707	107	DirectPlay	712	false					none	7.77	431.8MiB	3936966	2247628500		
1787150709	109	DirectPlay	714	false					none	14.10	432.5MiB	3941420	2250575337		
1787150712	112	DirectPlay	716	false					none	15.56	432MiB	3946000	2252444874		
1787150714	114	DirectPlay	718	false					none	11.32	431.9MiB	3948777	2255849249		
1787150716	116	DirectPlay	720	false					none	13.05	431.8MiB	3952997	2257838989		
1787150718	118	DirectPlay	722	false					none	24.96	439.3MiB	3956719	2261010718		
