ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787151352	0	DirectPlay	599	false					none	0.24	448.1MiB	5191487	3624741271		
1787151354	2	DirectPlay	601	false					none	13.34	448.7MiB	5198559	3628302352		
1787151356	4	DirectPlay	603	false					none	17.94	449MiB	5206091	3634815569		
1787151358	6	DirectPlay	605	false					none	18.22	448.5MiB	5213986	3644127998		
1787151360	8	DirectPlay	608	false					none	30.01	440.7MiB	5220654	3650969809		
1787151362	10	DirectPlay	610	false					none	26.45	448.7MiB	5229164	3657922416		
1787151365	13	DirectPlay	612	false					none	17.39	448.9MiB	5239904	3668015340		
1787151367	15	DirectPlay	614	false					none	14.73	449.4MiB	5244298	3671348279		
1787151369	17	DirectPlay	616	false					none	15.87	448.6MiB	5248236	3674581031		
1787151371	19	DirectPlay	618	false					none	18.08	450.9MiB	5256272	3683952165		
1787151373	21	DirectPlay	620	false					none	21.46	451.5MiB	5266378	3692135679		
1787151375	23	DirectPlay	622	false					none	12.22	450.8MiB	5272272	3699039032		
1787151378	26	DirectPlay	624	false					none	8.96	450.7MiB	5280710	3707625940		
1787151380	28	DirectPlay	627	false					none	9.61	450.6MiB	5293849	3719786565		
1787151382	30	DirectPlay	630	false					none	11.76	451.3MiB	5299377	3726722665		
1787151384	32	DirectPlay	632	false					none	13.90	451.5MiB	5308811	3735957225		
1787151386	34	DirectPlay	634	false					none	8.21	451.6MiB	5317450	3742688213		
1787151388	36	DirectPlay	636	false					none	10.74	451.8MiB	5324466	3749629578		
1787151391	39	DirectPlay	638	false					none	17.13	453.1MiB	5331392	3758235674		
1787151393	41	DirectPlay	640	false					none	13.07	452.5MiB	5341642	3766122956		
1787151395	43	DirectPlay	642	false					none	10.59	453MiB	5350116	3774888325		
1787151397	45	DirectPlay	644	false					none	12.59	452.8MiB	5354492	3778384468		
1787151399	47	DirectPlay	647	false					none	23.10	452.8MiB	5363416	3787692631		
1787151401	49	DirectPlay	649	false					none	17.51	453.6MiB	5370276	3796495736		
1787151403	51	DirectPlay	651	false					none	16.20	452.8MiB	5377142	3800363639		
1787151406	54	DirectPlay	653	false					none	15.70	453.4MiB	5383078	3805497667		
1787151408	56	DirectPlay	655	false					none	27.31	453.3MiB	5390244	3813797347		
1787151410	58	DirectPlay	657	false					none	17.69	453.6MiB	5395430	3819483820		
1787151412	60	DirectPlay	659	false					none	32.60	456.5MiB	5403598	3825587494		
1787151414	62	DirectPlay	661	false					none	7.26	453.8MiB	5405880	3828570672		
1787151416	64	DirectPlay	663	false					none	8.52	453.9MiB	5422409	3843344187		
1787151418	66	DirectPlay	666	false					none	7.57	454.5MiB	5427649	3849878409		
1787151421	69	DirectPlay	668	false					none	8.37	453.8MiB	5432043	3851985555		
1787151423	71	DirectPlay	670	false					none	8.37	453.8MiB	5432043	3851985555		
1787151425	73	DirectPlay	672	false					none	7.94	453.5MiB	5450393	3869298245		
1787151427	75	DirectPlay	674	false					none	9.32	454MiB	5454349	3875310475		
1787151429	77	DirectPlay	676	false					none	12.83	453.9MiB	5465415	3887239497		
1787151431	79	DirectPlay	678	false					none	11.57	455.4MiB	5471549	3890538786		
1787151434	82	DirectPlay	681	false					none	16.43	455.9MiB	5479519	3900410336		
1787151436	84	DirectPlay	683	false					none	15.28	454.9MiB	5487531	3905349909		
1787151438	86	DirectPlay	685	false					none	20.42	455.5MiB	5492639	3911765183		
1787151440	88	DirectPlay	688	false					none	20.56	455.6MiB	5500159	3920654855		
1787151442	90	DirectPlay	690	false					none	35.35	455.9MiB	5508441	3927458190		
1787151444	92	DirectPlay	692	false					none	18.44	456.2MiB	5514071	3933010130		
1787151447	95	DirectPlay	694	false					none	18.85	456.2MiB	5522557	3941124032		
1787151449	97	DirectPlay	696	false					none	18.01	455.8MiB	5530872	3948127388		
1787151451	99	DirectPlay	698	false					none	10.88	455.6MiB	5538164	3955672097		
1787151453	101	DirectPlay	700	false					none	34.55	450MiB	5544472	3964469524		
1787151455	103	DirectPlay	702	false					none	11.39	450.5MiB	5555026	3971565775		
1787151457	105	DirectPlay	704	false					none	10.00	450.7MiB	5560542	3976678578		
1787151460	108	DirectPlay	707	false					none	9.10	450MiB	5572436	3989753369		
1787151462	110	DirectPlay	709	false					none	10.75	450MiB	5579650	3997062484		
1787151464	112	DirectPlay	712	false					none	10.91	450MiB	5586654	4004256139		
1787151466	114	DirectPlay	714	false					none	12.96	436MiB	5595502	4013185175		
1787151468	116	DirectPlay	716	false					none	9.94	436.2MiB	5602878	4018961785		
1787151470	118	DirectPlay	718	false					none	9.13	436.2MiB	5607014	4022401845		
1787151472	120	DirectPlay	720	false					none	30.50	436.1MiB	5612200	4029187449		
1787151475	123	DirectPlay	722	false					none	17.07	435.9MiB	5618424	4034833965		
1787151477	125	DirectPlay	724	false					none	13.73	436.1MiB	5627027	4039941393		
1787151479	127	DirectPlay	726	false					none	18.12	436.2MiB	5633503	4047758660		
1787151481	129	DirectPlay	728	false					none	19.35	436.4MiB	5641377	4054503764		
1787151483	131	DirectPlay	731	false					none	20.06	436.2MiB	5649443	4062832364		
1787151485	133	DirectPlay	732	false					none	20.20	436.7MiB	5656367	4069553709		
1787151487	135	DirectPlay	734	false					none	17.15	436MiB	5664265	4075974139		
1787151490	138	DirectPlay	737	false					none	18.37	435.8MiB	5669727	4082791748		
1787151492	140	DirectPlay	739	false					none	20.66	436.4MiB	5678741	4090515173		
1787151494	142	DirectPlay	741	false					none	9.11	436.1MiB	5683831	4096622196		
1787151496	144	DirectPlay	744	false					none	9.50	436.5MiB	5690529	4101793752		
1787151498	146	DirectPlay	746	false					none	7.43	436.7MiB	5697845	4106307680		
1787151500	148	DirectPlay	748	false					none	10.98	436.2MiB	5706313	4115096058		
1787151503	151	DirectPlay	750	false					none	8.11	436.2MiB	5710479	4119988852		
1787151505	153	DirectPlay	752	false					none	10.52	436.3MiB	5715899	4123227259		
1787151507	155	DirectPlay	754	false					none	21.33	436.3MiB	5720170	4124912973		
1787151509	157	DirectPlay	757	false					none	13.05	435.8MiB	5722650	4126453143		
1787151511	159	DirectPlay	759	false					none	23.78	436.1MiB	5727176	4129817816		
1787151513	161	DirectPlay	761	false					none	19.38	436.7MiB	5730832	4132640658		
1787151516	164	DirectPlay	763	false					none	13.27	436.3MiB	5733748	4134136271		
1787151518	166	DirectPlay	765	false					none	11.44	436.3MiB	5738880	4137331621		
1787151520	168	DirectPlay	767	false					none	12.32	436.7MiB	5741546	4140880330		
1787151522	170	DirectPlay	769	false					none	19.30	436.5MiB	5747128	4144320799		
1787151524	172	DirectPlay	771	false					none	16.32	436.5MiB	5752614	4149698088		
1787151526	174	DirectPlay	773	false					none	17.21	436.4MiB	5758430	4154661126		
1787151528	176	DirectPlay	775	false					none	24.52	436.3MiB	5765944	4162886242		
1787151531	179	DirectPlay	778	false					none	11.44	436.8MiB	5773158	4170443791		
