ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787149452	0	DirectPlay	601	true					none						
1787149454	2	DirectPlay	601	true					none	0.13	283.8MiB	1555512	391348083		
1787149456	4	DirectPlay	601	true					none	0.38	283.8MiB	1556615	391354094		
1787149458	6	DirectPlay	601	true					none	0.19	283.8MiB	1557517	391360094		
1787149460	8	DirectPlay	601	true					none	1.58	283.8MiB	1558479	391366029		
1787149462	10	DirectPlay	601	true					none	7.79	283.8MiB	1559552	391372304		
1787149464	12	DirectPlay	601	false					none	4.41	283.8MiB	1560262	391378239		
1787149466	14	DirectPlay	603	false					none	14.19	288.3MiB	1564014	393830930		
1787149469	17	DirectPlay	605	false					none	10.66	289MiB	1566548	396642578		
1787149471	19	DirectPlay	607	false					none	14.19	288.4MiB	1569388	399339595		
1787149473	21	DirectPlay	609	false					none	13.56	288.5MiB	1571802	403163115		
1787149475	23	DirectPlay	611	false					none	16.17	289MiB	1577556	408740614		
1787149477	25	DirectPlay	613	false					none	14.52	289.1MiB	1581452	414736791		
1787149479	27	DirectPlay	615	false					none	13.44	289MiB	1584250	419739327		
1787149481	29	DirectPlay	617	false					none	25.99	288.7MiB	1587510	422480326		
1787149483	31	DirectPlay	619	false					none	14.10	288.6MiB	1589978	425214445		
1787149486	34	DirectPlay	621	false					none	12.90	288.7MiB	1593952	428595908		
1787149488	36	DirectPlay	623	false					none	17.31	288.3MiB	1598895	435826115		
1787149490	38	DirectPlay	625	false					none	6.49	288.7MiB	1600571	437112795		
1787149492	40	DirectPlay	627	false					none	7.59	289MiB	1603291	441472427		
1787149494	42	DirectPlay	630	false					none	6.00	288.7MiB	1605214	442681174		
1787149496	44	DirectPlay	632	false					none	9.43	288.7MiB	1612346	450124913		
1787149498	46	DirectPlay	634	false					none	8.51	288.7MiB	1614154	451581293		
1787149500	48	DirectPlay	637	false					none	30.80	288.6MiB	1618920	454428642		
1787149502	50	DirectPlay	639	false					none	30.80	288.6MiB	1618920	454428642		
1787149504	52	DirectPlay	641	false					none	9.83	288.5MiB	1622410	458343883		
