ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787150309	0	DirectPlay	602	false					none	11.49	387.8MiB	3031642	1575789185		
1787150311	2	DirectPlay	604	false					none	15.97	388.1MiB	3035204	1578796016		
1787150313	4	DirectPlay	606	false					none	13.48	388.4MiB	3038266	1580160560		
1787150315	6	DirectPlay	608	false					none	4.76	388.1MiB	3041878	1583172163		
1787150317	8	DirectPlay	610	false					none	16.61	387.8MiB	3045336	1586253393		
1787150319	10	DirectPlay	612	false					none	12.32	388.3MiB	3049144	1587698548		
1787150321	12	DirectPlay	614	false					none	12.85	388.6MiB	3052776	1590855005		
1787150324	15	DirectPlay	616	false					none	12.38	388.6MiB	3056267	1593916646		
1787150326	17	DirectPlay	619	false					none	31.63	387.3MiB	3059647	1596926203		
1787150328	19	DirectPlay	621	false					none	18.82	388MiB	3062127	1598549802		
1787150330	21	DirectPlay	623	false					none	14.20	388.8MiB	3067510	1601868362		
1787150332	23	DirectPlay	625	false					none	9.69	388.2MiB	3070040	1603301973		
1787150334	25	DirectPlay	627	false					none	6.37	388.3MiB	3073750	1607529611		
1787150336	27	DirectPlay	629	false					none	7.08	388MiB	3077658	1609438933		
1787150338	29	DirectPlay	631	false					none	3.00	388.2MiB	3081314	1612168104		
1787150341	32	DirectPlay	633	false					none	5.85	388.3MiB	3090666	1618107116		
1787150343	34	DirectPlay	636	false					none	5.85	388.3MiB	3090666	1618107116		
1787150345	36	DirectPlay	638	false					none	6.68	388.1MiB	3094505	1621444021		
1787150347	38	DirectPlay	640	false					none	9.44	387.3MiB	3103380	1626014048		
1787150349	40	DirectPlay	642	false					none	10.50	388.4MiB	3105602	1627675734		
1787150351	42	DirectPlay	644	false					none	4.68	387MiB	3109180	1630981878		
1787150353	44	DirectPlay	646	false					none	4.68	388.6MiB	3112353	1633854930		
1787150356	47	DirectPlay	649	false					none	21.78	388.5MiB	3114983	1635393084		
1787150358	49	DirectPlay	651	false					none	34.86	388.7MiB	3119946	1638695757		
1787150360	51	DirectPlay	653	false					none	39.67	382.2MiB	3123284	1642125343		
1787150362	53	DirectPlay	655	false					none	17.00	382.9MiB	3126730	1645013396		
1787150364	55	DirectPlay	657	false					none	13.08	386.1MiB	3128868	1646626588		
1787150366	57	DirectPlay	659	false					none	15.84	387.2MiB	3132512	1649612506		
1787150368	59	DirectPlay	661	false					none	27.19	386.6MiB	3137586	1652588696		
1787150371	62	DirectPlay	663	false					none	14.95	386.8MiB	3140792	1655652022		
1787150373	64	DirectPlay	666	false					none	16.08	386.1MiB	3143050	1658810464		
1787150375	66	DirectPlay	668	false					none	15.00	386.3MiB	3147544	1661782148		
1787150377	68	DirectPlay	670	false					none	11.37	384.8MiB	3151056	1664565693		
1787150379	70	DirectPlay	672	false					none	23.68	386.4MiB	3156137	1667852994		
1787150381	72	DirectPlay	674	false					none	6.81	386.2MiB	3158725	1669435002		
1787150383	74	DirectPlay	676	false					none	5.16	386.4MiB	3160863	1672274293		
1787150386	77	DirectPlay	679	false					none	18.65	386.1MiB	3166718	1676918287		
1787150388	79	DirectPlay	681	false					none	22.15	386.7MiB	3171063	1680233480		
1787150390	81	DirectPlay	683	false					none	6.52	386.8MiB	3174719	1681894005		
1787150392	83	DirectPlay	685	false					none	4.65	386.1MiB	3176989	1685356071		
1787150394	85	DirectPlay	687	false					none	10.92	386.2MiB	3180693	1688315034		
1787150396	87	DirectPlay	689	false					none	14.02	386.2MiB	3184181	1691324434		
1787150399	90	DirectPlay	691	false					none	24.56	386.4MiB	3189011	1692931208		
1787150401	92	DirectPlay	694	false					none	12.60	386.8MiB	3191467	1694503823		
1787150403	94	DirectPlay	696	false					none	11.28	386.3MiB	3197265	1697773730		
1787150405	96	DirectPlay	698	false					none	16.03	386.5MiB	3209233	1700785564		
1787150407	98	DirectPlay	700	false					none	10.58	385.2MiB	3213075	1703655382		
1787150409	100	DirectPlay	702	false					none	11.80	386.5MiB	3218533	1706757363		
1787150411	102	DirectPlay	704	false					none	13.00	385.2MiB	3221397	1707855327		
1787150413	104	DirectPlay	706	false					none	13.59	386.9MiB	3224966	1712698046		
1787150416	107	DirectPlay	709	false					none	12.58	386.4MiB	3228040	1714230794		
1787150418	109	DirectPlay	711	false					none	21.40	386MiB	3231564	1717310268		
1787150420	111	DirectPlay	713	false					none	7.15	386.7MiB	3236473	1720088120		
1787150422	113	DirectPlay	715	false					none	6.36	386.7MiB	3239853	1723063310		
1787150424	115	DirectPlay	717	false					none	4.53	386.3MiB	3244133	1727538291		
