ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787151025	0	DirectPlay	600	false					none	0.21	440.8MiB	4397558	2616609122		
1787151027	2	DirectPlay	602	false					none	80.73	442.6MiB	4410412	2618480390		
1787151029	4	DirectPlay	604	false					none	17.34	442.2MiB	4413276	2623523073		
1787151032	7	DirectPlay	606	false					none	16.63	440.8MiB	4416854	2629529223		
1787151034	9	DirectPlay	608	false					none	17.46	442.6MiB	4420786	2637397270		
1787151036	11	DirectPlay	611	false					none	19.84	442.8MiB	4426883	2646100247		
1787151038	13	DirectPlay	613	false					none	19.93	442.2MiB	4430011	2649877941		
1787151040	15	DirectPlay	615	false					none	16.73	441.1MiB	4432515	2654499329		
1787151042	17	DirectPlay	617	false					none	17.69	441.6MiB	4436579	2663321667		
1787151044	19	DirectPlay	619	false					none	17.37	442.3MiB	4440436	2669789776		
1787151047	22	DirectPlay	621	false					none	11.62	441.4MiB	4445893	2677011854		
1787151049	24	DirectPlay	624	false					none	11.49	442.1MiB	4449603	2684799135		
1787151051	26	DirectPlay	626	false					none	10.54	441.7MiB	4455716	2696756547		
1787151053	28	DirectPlay	628	false					none	15.62	443.3MiB	4459174	2704972291		
1787151055	30	DirectPlay	630	false					none	16.87	441.8MiB	4464985	2712524118		
1787151057	32	DirectPlay	632	false					none	8.84	442.1MiB	4468827	2720357574		
1787151060	35	DirectPlay	634	false					none	12.64	443MiB	4472747	2728956945		
1787151062	37	DirectPlay	637	false					none	19.56	442.1MiB	4476877	2735885572		
1787151064	39	DirectPlay	639	false					none	13.42	443.2MiB	4481005	2744469890		
1787151066	41	DirectPlay	641	false					none	30.21	441.5MiB	4486853	2752995238		
1787151068	43	DirectPlay	643	false					none	6.03	441.2MiB	4489519	2757515152		
1787151070	45	DirectPlay	645	false					none	21.05	442.6MiB	4494387	2766691019		
1787151072	47	DirectPlay	647	false					none	21.14	441.7MiB	4498571	2774341281		
1787151075	50	DirectPlay	650	false					none	18.52	443MiB	4501282	2779241023		
1787151077	52	DirectPlay	652	false					none	33.48	442.3MiB	4505900	2782809903		
1787151079	54	DirectPlay	654	false					none	21.70	442MiB	4510306	2791960687		
1787151081	56	DirectPlay	656	false					none	24.93	441.2MiB	4513677	2796499237		
1787151083	58	DirectPlay	658	false					none	18.56	441.9MiB	4517993	2803476063		
1787151085	60	DirectPlay	660	false					none	7.80	442.6MiB	4520527	2806534740		
1787151087	62	DirectPlay	662	false					none	34.81	441.2MiB	4526399	2813415751		
1787151090	65	DirectPlay	664	false					none	8.26	431.1MiB	4532881	2827915766		
1787151092	67	DirectPlay	667	false					none	8.26	431.1MiB	4532881	2827915766		
1787151094	69	DirectPlay	669	false					none	10.68	430.6MiB	4537391	2832341204		
1787151096	71	DirectPlay	671	false					none	8.36	429.5MiB	4547485	2848189076		
1787151098	73	DirectPlay	673	false					none	8.86	431.4MiB	4550787	2854725918		
1787151100	75	DirectPlay	675	false					none	15.02	430.7MiB	4555565	2864934804		
1787151103	78	DirectPlay	677	false					none	6.97	429.4MiB	4558528	2867623432		
1787151105	80	DirectPlay	680	false					none	12.23	429.6MiB	4563396	2880090523		
1787151107	82	DirectPlay	682	false					none	14.70	426MiB	4568457	2884328455		
1787151109	84	DirectPlay	684	false					none	19.98	426.2MiB	4571717	2889935573		
1787151111	86	DirectPlay	686	false					none	23.34	426.3MiB	4575790	2898644935		
1787151113	88	DirectPlay	688	false					none	17.63	427.5MiB	4579314	2906001418		
1787151115	90	DirectPlay	690	false					none	19.11	428MiB	4583048	2912032747		
1787151118	93	DirectPlay	692	false					none	16.44	426.1MiB	4589033	2919387179		
1787151120	95	DirectPlay	694	false					none	18.56	427.7MiB	4592581	2927616079		
1787151122	97	DirectPlay	697	false					none	13.05	427.7MiB	4596621	2934464554		
1787151124	99	DirectPlay	699	false					none	15.60	427.1MiB	4600751	2941712956		
1787151126	101	DirectPlay	701	false					none	16.49	427.9MiB	4605131	2949115721		
1787151128	103	DirectPlay	703	false					none	14.62	427.5MiB	4610084	2955579877		
1787151131	106	DirectPlay	705	false					none	9.04	427.6MiB	4613542	2961522678		
1787151133	108	DirectPlay	707	false					none	9.94	426.2MiB	4620441	2975386869		
1787151135	110	DirectPlay	710	false					none	9.18	428.1MiB	4625304	2982546224		
1787151137	112	DirectPlay	712	false					none	19.13	428MiB	4629776	2991374156		
1787151139	114	DirectPlay	714	false					none	10.53	427.5MiB	4633441	2998281483		
1787151141	116	DirectPlay	716	false					none	9.05	426.2MiB	4636743	3001196565		
1787151143	118	DirectPlay	718	false					none	15.22	427.7MiB	4639865	3006383660		
1787151146	121	DirectPlay	720	false					none	20.39	428.1MiB	4645190	3012393134		
1787151148	123	DirectPlay	723	false					none	19.63	426.5MiB	4648966	3019281969		
1787151150	125	DirectPlay	725	false					none	22.11	428.2MiB	4653480	3026168141		
1787151152	127	DirectPlay	727	false					none	22.87	426.4MiB	4657334	3034315381		
1787151154	129	DirectPlay	729	false					none	16.53	426.7MiB	4661990	3043367186		
1787151156	131	DirectPlay	731	false					none	34.55	428.1MiB	4667423	3047271700		
1787151158	133	DirectPlay	733	false					none	19.46	428.3MiB	4671223	3054638164		
1787151161	136	DirectPlay	735	false					none	20.65	428.1MiB	4674759	3061563039		
1787151163	138	DirectPlay	738	false					none	17.64	427.5MiB	4678073	3067541841		
1787151165	140	DirectPlay	740	false					none	19.67	427.8MiB	4681774	3074935328		
1787151167	142	DirectPlay	742	false					none	25.34	427.1MiB	4687964	3083556260		
1787151169	144	DirectPlay	744	false					none	9.37	426.6MiB	4691698	3089234313		
1787151171	146	DirectPlay	746	false					none	10.10	427.9MiB	4697949	3103878300		
1787151174	149	DirectPlay	748	false					none	9.32	427.9MiB	4701287	3109458482		
1787151176	151	DirectPlay	750	false					none	33.46	428.5MiB	4708503	3121853374		
1787151178	153	DirectPlay	753	false					none	35.74	425.7MiB	4711829	3126595774		
1787151180	155	DirectPlay	755	false					none	7.31	435.1MiB	4715485	3132691119		
1787151182	157	DirectPlay	757	false					none	12.14	436.2MiB	4719417	3140810205		
1787151184	159	DirectPlay	759	false					none	8.65	435.3MiB	4723623	3147505325		
1787151186	161	DirectPlay	761	false					none	28.75	436.7MiB	4728457	3153010903		
1787151189	164	DirectPlay	763	false					none	22.31	435MiB	4732701	3161397136		
1787151191	166	DirectPlay	766	false					none	17.65	436.2MiB	4736135	3167226372		
1787151193	168	DirectPlay	768	false					none	20.58	436.3MiB	4739572	3171940711		
1787151195	170	DirectPlay	770	false					none	20.58	436.9MiB	4743186	3178843931		
1787151197	172	DirectPlay	772	false					none	16.34	436MiB	4747641	3181782653		
1787151199	174	DirectPlay	774	false					none	16.38	436.4MiB	4749977	3184246662		
1787151201	176	DirectPlay	776	false					none	31.48	434.8MiB	4753984	3193141149		
1787151204	179	DirectPlay	779	false					none	16.56	436.7MiB	4757046	3197374395		
