ts	elapsed	play_method	pos_s	paused	tc_fps	tc_bitrate	tc_vcodec	tc_hwaccel	tc_reasons	cpu_pct	mem_mb	rx_bytes	tx_bytes	video_direct	audio_direct
1787149978	0	Transcode	602	false	240	17467460	hevc	none	SecondaryAudioNotSupported	33.77	749.7MiB	2212523	988780688	true	true
1787149981	3	Transcode	605	false	486	17467460	hevc	none	SecondaryAudioNotSupported	144.09	973.7MiB	2217487	988870844	true	true
1787149983	5	Transcode	607	false	632	17467460	hevc	none	SecondaryAudioNotSupported	187.64	1.205GiB	2220603	988944246	true	true
1787149986	8	Transcode	610	false	632	17467460	hevc	none	SecondaryAudioNotSupported	46.82	1.347GiB	2224005	989017052	true	true
1787149988	10	Transcode	612	false	632	17467460	hevc	none	SecondaryAudioNotSupported	5.49	1.347GiB	2237270	1004104496	true	true
1787149991	13	Transcode	615	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.74	1.346GiB	2240386	1004160867	true	true
1787149993	15	Transcode	617	false	632	17467460	hevc	none	SecondaryAudioNotSupported	19.04	1.346GiB	2243349	1004233682	true	true
1787149995	17	Transcode	619	false	632	17467460	hevc	none	SecondaryAudioNotSupported	54.99	1.335GiB	2246399	1004306486	true	true
1787149998	20	Transcode	622	false	632	17467460	hevc	none	SecondaryAudioNotSupported	39.25	1.342GiB	2260449	1018295810	true	true
1787150000	22	Transcode	624	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.65	1.342GiB	2262723	1018306245	true	true
1787150003	25	Transcode	627	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.90	1.342GiB	2266091	1018379288	true	true
1787150005	27	Transcode	629	false	632	17467460	hevc	none	SecondaryAudioNotSupported	27.42	1.341GiB	2269273	1018452290	true	true
1787150008	30	Transcode	632	false	632	17467460	hevc	none	SecondaryAudioNotSupported	59.71	1.341GiB	2273892	1022797833	true	true
1787150010	32	Transcode	634	false	632	17467460	hevc	none	SecondaryAudioNotSupported	44.67	1.342GiB	2288738	1033289522	true	true
1787150013	35	Transcode	636	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.64	1.341GiB	2292226	1033379377	true	true
1787150015	37	Transcode	639	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.28	1.341GiB	2295958	1033436144	true	true
1787150018	40	Transcode	642	false	632	17467460	hevc	none	SecondaryAudioNotSupported	55.23	1.341GiB	2300631	1033509264	true	true
1787150020	42	Transcode	644	false	632	17467460	hevc	none	SecondaryAudioNotSupported	59.92	1.348GiB	2310911	1050177425	true	true
1787150022	44	Transcode	646	false	632	17467460	hevc	none	SecondaryAudioNotSupported	46.13	1.344GiB	2314621	1050250099	true	true
1787150025	47	Transcode	649	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.02	1.341GiB	2318076	1050326759	true	true
1787150027	49	Transcode	651	false	632	17467460	hevc	none	SecondaryAudioNotSupported	41.88	1.341GiB	2323046	1050396970	true	true
1787150030	52	Transcode	653	false	632	17467460	hevc	none	SecondaryAudioNotSupported	19.44	1.341GiB	2332870	1062948827	true	true
1787150032	54	Transcode	656	false	632	17467460	hevc	none	SecondaryAudioNotSupported	53.21	1.342GiB	2336052	1063021628	true	true
1787150035	57	Transcode	658	false	632	17467460	hevc	none	SecondaryAudioNotSupported	45.96	1.342GiB	2338850	1063094298	true	true
1787150037	59	Transcode	661	false	632	17467460	hevc	none	SecondaryAudioNotSupported	10.25	1.342GiB	2343775	1063167687	true	true
1787150040	62	Transcode	663	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.83	1.342GiB	2354547	1077758130	true	true
1787150042	64	Transcode	666	false	632	17467460	hevc	none	SecondaryAudioNotSupported	45.34	1.341GiB	2357663	1077831132	true	true
1787150044	66	Transcode	668	false	632	17467460	hevc	none	SecondaryAudioNotSupported	39.77	1.341GiB	2360813	1077904006	true	true
1787150047	69	Transcode	671	false	632	17467460	hevc	none	SecondaryAudioNotSupported	45.97	1.342GiB	2363929	1077976880	true	true
1787150049	71	Transcode	673	false	632	17467460	hevc	none	SecondaryAudioNotSupported	39.95	1.342GiB	2368440	1078049864	true	true
1787150052	74	Transcode	675	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.37	1.341GiB	2378975	1091914911	true	true
1787150054	76	Transcode	678	false	632	17467460	hevc	none	SecondaryAudioNotSupported	22.16	1.342GiB	2382037	1091987917	true	true
1787150056	78	Transcode	680	false	632	17467460	hevc	none	SecondaryAudioNotSupported	31.83	1.341GiB	2385129	1092060843	true	true
1787150059	81	Transcode	683	false	632	17467460	hevc	none	SecondaryAudioNotSupported	66.22	1.342GiB	2400653	1105414849	true	true
1787150061	83	Transcode	685	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.38	1.342GiB	2404983	1105553629	true	true
1787150064	86	Transcode	687	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.49	1.341GiB	2406717	1105560605	true	true
1787150066	88	Transcode	690	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.89	1.341GiB	2410091	1105633747	true	true
1787150069	91	Transcode	693	false	632	17467460	hevc	none	SecondaryAudioNotSupported	41.18	1.341GiB	2414602	1105706579	true	true
1787150071	93	Transcode	695	false	632	17467460	hevc	none	SecondaryAudioNotSupported	77.80	1.341GiB	2430312	1123554785	true	true
1787150074	96	Transcode	697	false	632	17467460	hevc	none	SecondaryAudioNotSupported	45.38	1.342GiB	2433230	1123627637	true	true
1787150076	98	Transcode	700	false	632	17467460	hevc	none	SecondaryAudioNotSupported	28.74	1.342GiB	2438747	1123738286	true	true
1787150078	100	Transcode	702	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.32	1.342GiB	2441677	1123774036	true	true
1787150081	103	Transcode	705	false	632	17467460	hevc	none	SecondaryAudioNotSupported	21.63	1.342GiB	2454387	1135501516	true	true
1787150083	105	Transcode	707	false	632	17467460	hevc	none	SecondaryAudioNotSupported	23.80	1.343GiB	2457680	1135574994	true	true
1787150086	108	Transcode	709	false	632	17467460	hevc	none	SecondaryAudioNotSupported	49.59	1.343GiB	2460490	1135648006	true	true
1787150088	110	Transcode	712	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.27	1.322GiB	2476416	1150045840	true	true
1787150091	113	Transcode	714	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.66	1.322GiB	2479730	1150112767	true	true
1787150093	115	Transcode	717	false	632	17467460	hevc	none	SecondaryAudioNotSupported	21.12	1.32GiB	2482660	1150185636	true	true
1787150095	117	Transcode	719	false	632	17467460	hevc	none	SecondaryAudioNotSupported	44.02	1.321GiB	2485458	1150258308	true	true
1787150098	120	Transcode	722	false	632	17467460	hevc	none	SecondaryAudioNotSupported	75.34	1.321GiB	2490329	1150331463	true	true
1787150100	122	Transcode	724	false	632	17467460	hevc	none	SecondaryAudioNotSupported	17.18	1.321GiB	2504539	1161944272	true	true
1787150103	125	Transcode	727	false	632	17467460	hevc	none	SecondaryAudioNotSupported	9.17	1.321GiB	2507865	1162011192	true	true
1787150105	127	Transcode	729	false	632	17467460	hevc	none	SecondaryAudioNotSupported	40.97	1.294GiB	2519641	1162119284	true	true
1787150108	130	Transcode	732	false	632	17467460	hevc	none	SecondaryAudioNotSupported	58.10	1.294GiB	2524746	1162192870	true	true
1787150110	132	Transcode	734	false	632	17467460	hevc	none	SecondaryAudioNotSupported	78.59	1.294GiB	2534438	1174620169	true	true
1787150113	135	Transcode	736	false	632	17467460	hevc	none	SecondaryAudioNotSupported	7.86	1.294GiB	2537665	1174719859	true	true
1787150115	137	Transcode	739	false	632	17467460	hevc	none	SecondaryAudioNotSupported	8.73	1.293GiB	2541045	1174767330	true	true
1787150118	140	Transcode	741	false	632	17467460	hevc	none	SecondaryAudioNotSupported	58.10	1.293GiB	2545907	1174840849	true	true
1787150120	142	Transcode	744	false	632	17467460	hevc	none	SecondaryAudioNotSupported	71.29	1.294GiB	2554939	1185415947	true	true
